id;word;definition;example;tags;status;created_at;updated_at;created_by
833879a2-9daf-408f-a86e-925c2fcaebdf;emaciated;abnormally thin and weak;"""she was so emaciated she could hardly stand""";"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-27 15:09:14.402267+00;
bc452c82-6ede-42bf-9497-09bb7524091e;effrontery;"shameless boldness; insolent or impertinent behaviour; impudence";one juror had the effrontery to challenge the coroner's decision;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-27 15:17:02.937485+00;
885a6e54-bae4-44ac-97f4-c412926ae069;eloquent;fluent and persuasive in speech;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
79bcb72d-3c2c-4985-927a-313f0edce923;elixir;"a sweetened mixture having medicinal qualities; a cure-all";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
f6c1de9c-48e6-4d1b-8d69-5627c66006d4;empirical;based on observation or experience;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
5838f967-d9cb-4dd5-9f56-8184f6c675bd;trenchant;"vigorous or incisive in expression or style; strong; telling;";"""the White Paper makes trenchant criticisms of health authorities""";[];new;2026-01-24 11:17:08.618+00;2026-01-26 12:17:08.547245+00;
43b91577-a29b-4d4c-a571-85fa9364b24b;prefunctory;"(of an action) carried out without real interest, feeling, or effort; half-hearted";"""he gave a perfunctory nod""";[];new;2026-01-24 11:16:23.737+00;2026-01-26 12:17:08.547245+00;
b21791f1-bc4d-432d-b55a-12d3bea3d690;exhaustive;"including or considering all elements or aspects; fully comprehensive; profound";"""the guide outlines every bus route in exhaustive detail""";[];new;2026-01-24 11:15:41.17+00;2026-01-26 12:17:08.547245+00;
7dfe207c-4a7e-4928-bb44-e760dd14a420;cursory;"hasty and therefore not thorough or detailed; brief; careless";"""a cursory glance at the figures""";[];new;2026-01-24 11:15:11.34+00;2026-01-26 12:17:08.547245+00;
b3c53d5a-4826-43e1-a89c-3395dcfef566;incisive;"(of a person or mental process) intelligently analytical and clear-thinking; (of an action) quick and direct:";"""the most incisive move of a tight match""";[];new;2026-01-24 11:14:42.35+00;2026-01-26 12:17:08.547245+00;
c935a21d-1b9c-42ff-a915-96ebaf7d3c50;circumspect;wary and unwilling to take risks:;"""the officials were very circumspect in their statements""";[];new;2026-01-24 11:13:56.797+00;2026-01-26 12:17:08.547245+00;
cb75c6a8-8ff2-428a-af58-da1606a42d35;pragmatic;"dealing with things sensibly and realistically in a way that is based on practical rather than theoretical considerations; relating to philosophical or political pragmatism.";"""a pragmatic approach to business ethics""";[];new;2026-01-24 11:13:40.945+00;2026-01-26 12:17:08.547245+00;
75488dd1-b5db-4e74-9340-be61e2efe4d3;incendiary;"(of a device or attack) designed to cause fires; tending to stir up conflict; contentious";"""incendiary rhetoric""";[];new;2026-01-24 11:13:09.7+00;2026-01-26 12:17:08.547245+00;
5dc9e88b-c30f-472c-a659-2c02c4316d33;prudent;acting with or showing care and thought for the future:;"""no prudent money manager would authorize a loan without first knowing its purpose""";[];new;2026-01-24 11:12:21.85+00;2026-01-26 12:17:08.547245+00;
7f5fe9b6-eacb-4765-b772-c9066a972437;obscurity;"the state of being unknown, inconspicuous, or unimportant; the quality of being difficult to understand: a thing that is unclear or difficult to understand:";"""he is too good a player to slide into obscurity"", ""poems of impenetrable obscurity""";[];new;2026-01-24 11:05:44.428+00;2026-01-26 12:17:08.547245+00;
1d3047f4-09f3-4c8a-b36a-8685e11ddceb;Indifference;lack of interest, concern, or sympathy: mediocrity: unimportance;"""it cannot be regarded as a matter of indifference""";[];new;2026-01-24 11:05:06.991+00;2026-01-26 12:17:08.547245+00;
4276c836-de79-49a1-b01a-6a4e28d24301;Eminence;fame or acknowledged superiority within a particular sphere: an important or distinguished person:;"""her eminence in cinematography""";[];new;2026-01-24 11:04:29.89+00;2026-01-26 12:17:08.547245+00;
33780655-2c89-4b35-b146-9c366ac68b7b;Discursive;"digressing from subject to subject; (of a style of speech or writing) fluent and expansive: philosophy
archaic - proceeding by argument or reasoning rather than by intuition.";"""students often write dull, second-hand, discursive prose""";[];new;2026-01-24 11:04:01.147+00;2026-01-26 12:17:08.547245+00;
f8a5bed5-0138-4ba8-9601-c9d823298b0b;Nebulous;"in the form of a cloud; hazy; vague; ill-defined concept";"""Her claim was nebulous""";[];new;2026-01-24 10:59:14.755+00;2026-01-26 12:17:08.547245+00;
d1947e7d-c257-453d-b088-487b3a2c0032;abate;to make or become less in degree, intensity, value, or amount;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
dac47eb2-7fa9-4cf8-b742-633de3891eb9;abdicate;to give up a right or responsibility, especially formally;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
dcf1c17a-ef44-4dc3-9a29-e57af55a45ba;aberrant;"going off the usual, normal, or right way; deviating from the norm";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
cc6a54d0-3c3a-4c8a-9ca2-46473409493e;abjure;to formally reject, often under oath;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
4a3c93c4-6e7b-42d4-bdba-db9cee7866b9;abject;"completely hopeless; downtrodden, miserable, wretched";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
